rss,heapUsed,heapTotal,checktime
13303808,3197928,9260288,Sun May 12 2013 22:31:48 GMT-0700 (PDT)
11788288,3495456,9214976,Sun May 12 2013 22:31:58 GMT-0700 (PDT)
11894784,3567200,9214976,Sun May 12 2013 22:32:08 GMT-0700 (PDT)
12226560,3737288,9214976,Sun May 12 2013 22:32:10 GMT-0700 (PDT)
12337152,3775528,9214976,Sun May 12 2013 22:32:18 GMT-0700 (PDT)
12374016,3896272,9214976,Sun May 12 2013 22:32:20 GMT-0700 (PDT)
12492800,3923344,9214976,Sun May 12 2013 22:32:28 GMT-0700 (PDT)
13918208,4021880,9214976,Sun May 12 2013 22:32:30 GMT-0700 (PDT)
13979648,4043064,9214976,Sun May 12 2013 22:32:38 GMT-0700 (PDT)
14004224,4085568,9214976,Sun May 12 2013 22:32:40 GMT-0700 (PDT)
14045184,4106600,9214976,Sun May 12 2013 22:32:48 GMT-0700 (PDT)
14065664,4142624,9214976,Sun May 12 2013 22:32:50 GMT-0700 (PDT)
14106624,4172192,9214976,Sun May 12 2013 22:32:58 GMT-0700 (PDT)
14139392,4205064,9214976,Sun May 12 2013 22:33:00 GMT-0700 (PDT)
14176256,4232408,9214976,Sun May 12 2013 22:33:08 GMT-0700 (PDT)
14204928,4271056,9214976,Sun May 12 2013 22:33:10 GMT-0700 (PDT)
14241792,4287952,9214976,Sun May 12 2013 22:33:18 GMT-0700 (PDT)
14262272,4318824,9214976,Sun May 12 2013 22:33:20 GMT-0700 (PDT)
14295040,4346008,9214976,Sun May 12 2013 22:33:28 GMT-0700 (PDT)
14327808,4377672,9214976,Sun May 12 2013 22:33:30 GMT-0700 (PDT)
14360576,4394536,9214976,Sun May 12 2013 22:33:38 GMT-0700 (PDT)
14446592,4465200,9214976,Sun May 12 2013 22:33:40 GMT-0700 (PDT)
14458880,4546200,9214976,Sun May 12 2013 22:33:48 GMT-0700 (PDT)
14745600,4633736,9214976,Sun May 12 2013 22:33:50 GMT-0700 (PDT)
14757888,4653536,9214976,Sun May 12 2013 22:33:58 GMT-0700 (PDT)
14774272,4685296,9214976,Sun May 12 2013 22:34:00 GMT-0700 (PDT)
