rss,heapUsed,heapTotal,checktime
9187328,2195440,5115392,Mon May 13 2013 12:14:52 GMT-0700 (PDT)
9687040,2495336,6147328,Mon May 13 2013 12:15:02 GMT-0700 (PDT)
9740288,2504072,6147328,Mon May 13 2013 12:15:12 GMT-0700 (PDT)
9748480,2506656,6147328,Mon May 13 2013 12:15:22 GMT-0700 (PDT)
9752576,2509272,6147328,Mon May 13 2013 12:15:32 GMT-0700 (PDT)
9752576,2511888,6147328,Mon May 13 2013 12:15:42 GMT-0700 (PDT)
9756672,2514472,6147328,Mon May 13 2013 12:15:52 GMT-0700 (PDT)
9756672,2516944,6147328,Mon May 13 2013 12:16:02 GMT-0700 (PDT)
9760768,2519416,6147328,Mon May 13 2013 12:16:12 GMT-0700 (PDT)
9764864,2521784,6147328,Mon May 13 2013 12:16:22 GMT-0700 (PDT)
9764864,2524152,6147328,Mon May 13 2013 12:16:32 GMT-0700 (PDT)
9768960,2526520,6147328,Mon May 13 2013 12:16:42 GMT-0700 (PDT)
9768960,2528888,6147328,Mon May 13 2013 12:16:52 GMT-0700 (PDT)
9773056,2531224,6147328,Mon May 13 2013 12:17:02 GMT-0700 (PDT)
9777152,2533656,6147328,Mon May 13 2013 12:17:12 GMT-0700 (PDT)
9777152,2536024,6147328,Mon May 13 2013 12:17:22 GMT-0700 (PDT)
9781248,2538360,6147328,Mon May 13 2013 12:17:32 GMT-0700 (PDT)
9781248,2540728,6147328,Mon May 13 2013 12:17:42 GMT-0700 (PDT)
9785344,2543096,6147328,Mon May 13 2013 12:17:52 GMT-0700 (PDT)
10629120,2256400,7195904,Mon May 13 2013 12:18:02 GMT-0700 (PDT)
10702848,2258872,7195904,Mon May 13 2013 12:18:12 GMT-0700 (PDT)
10706944,2261248,7195904,Mon May 13 2013 12:18:22 GMT-0700 (PDT)
10706944,2263624,7195904,Mon May 13 2013 12:18:32 GMT-0700 (PDT)
10711040,2265968,7195904,Mon May 13 2013 12:18:42 GMT-0700 (PDT)
10711040,2268344,7195904,Mon May 13 2013 12:18:52 GMT-0700 (PDT)
10715136,2270688,7195904,Mon May 13 2013 12:19:02 GMT-0700 (PDT)
10719232,2273128,7195904,Mon May 13 2013 12:19:12 GMT-0700 (PDT)
10719232,2275504,7195904,Mon May 13 2013 12:19:22 GMT-0700 (PDT)
10723328,2277848,7195904,Mon May 13 2013 12:19:32 GMT-0700 (PDT)
10723328,2280224,7195904,Mon May 13 2013 12:19:42 GMT-0700 (PDT)
10727424,2282568,7195904,Mon May 13 2013 12:19:52 GMT-0700 (PDT)
10727424,2284944,7195904,Mon May 13 2013 12:20:02 GMT-0700 (PDT)
10731520,2287352,7195904,Mon May 13 2013 12:20:12 GMT-0700 (PDT)
10735616,2289728,7195904,Mon May 13 2013 12:20:22 GMT-0700 (PDT)
10735616,2292104,7195904,Mon May 13 2013 12:20:32 GMT-0700 (PDT)
10739712,2294448,7195904,Mon May 13 2013 12:20:42 GMT-0700 (PDT)
10739712,2296824,7195904,Mon May 13 2013 12:20:52 GMT-0700 (PDT)
10743808,2299168,7195904,Mon May 13 2013 12:21:02 GMT-0700 (PDT)
10743808,2301608,7195904,Mon May 13 2013 12:21:12 GMT-0700 (PDT)
10747904,2303952,7195904,Mon May 13 2013 12:21:22 GMT-0700 (PDT)
10752000,2306328,7195904,Mon May 13 2013 12:21:32 GMT-0700 (PDT)
10752000,2308704,7195904,Mon May 13 2013 12:21:42 GMT-0700 (PDT)
10756096,2311048,7195904,Mon May 13 2013 12:21:52 GMT-0700 (PDT)
10756096,2313424,7195904,Mon May 13 2013 12:22:02 GMT-0700 (PDT)
10760192,2317864,7195904,Mon May 13 2013 12:22:12 GMT-0700 (PDT)
