rss,heapUsed,heapTotal,checktime
10915840,2408848,7195904,Sun May 12 2013 22:29:35 GMT-0700 (PDT)
12558336,3327192,7195904,Sun May 12 2013 22:29:45 GMT-0700 (PDT)
12836864,3587640,7195904,Sun May 12 2013 22:29:55 GMT-0700 (PDT)
12845056,3691792,7195904,Sun May 12 2013 22:30:05 GMT-0700 (PDT)
13119488,3786816,7195904,Sun May 12 2013 22:30:15 GMT-0700 (PDT)
13684736,3882136,7195904,Sun May 12 2013 22:30:25 GMT-0700 (PDT)
14221312,3151008,7195904,Sun May 12 2013 22:30:35 GMT-0700 (PDT)
14491648,3315440,7195904,Sun May 12 2013 22:30:45 GMT-0700 (PDT)
14491648,3405280,7195904,Sun May 12 2013 22:30:55 GMT-0700 (PDT)
14491648,3497904,8215808,Sun May 12 2013 22:31:05 GMT-0700 (PDT)
14491648,3596696,8215808,Sun May 12 2013 22:31:15 GMT-0700 (PDT)
14491648,3699304,8215808,Sun May 12 2013 22:31:25 GMT-0700 (PDT)
14491648,3803272,8215808,Sun May 12 2013 22:31:35 GMT-0700 (PDT)
14761984,3914112,8215808,Sun May 12 2013 22:31:45 GMT-0700 (PDT)
14761984,4026712,8215808,Sun May 12 2013 22:31:55 GMT-0700 (PDT)
14761984,4117488,8215808,Sun May 12 2013 22:32:05 GMT-0700 (PDT)
15032320,4240984,8215808,Sun May 12 2013 22:32:15 GMT-0700 (PDT)
15106048,4382912,8215808,Sun May 12 2013 22:32:25 GMT-0700 (PDT)
15138816,3630328,10312960,Sun May 12 2013 22:32:35 GMT-0700 (PDT)
15138816,3715912,10312960,Sun May 12 2013 22:32:45 GMT-0700 (PDT)
15405056,3821832,10312960,Sun May 12 2013 22:32:55 GMT-0700 (PDT)
15675392,3920688,10312960,Sun May 12 2013 22:33:05 GMT-0700 (PDT)
15675392,4014144,10312960,Sun May 12 2013 22:33:15 GMT-0700 (PDT)
15675392,4099536,10312960,Sun May 12 2013 22:33:25 GMT-0700 (PDT)
15675392,4184928,10312960,Sun May 12 2013 22:33:35 GMT-0700 (PDT)
15675392,4270320,10312960,Sun May 12 2013 22:33:45 GMT-0700 (PDT)
15945728,4369512,10312960,Sun May 12 2013 22:33:55 GMT-0700 (PDT)
15945728,4473232,10312960,Sun May 12 2013 22:34:05 GMT-0700 (PDT)
15945728,4558688,10312960,Sun May 12 2013 22:34:15 GMT-0700 (PDT)
15945728,4644136,10312960,Sun May 12 2013 22:34:25 GMT-0700 (PDT)
16216064,4730088,10312960,Sun May 12 2013 22:34:35 GMT-0700 (PDT)
16216064,4815512,10312960,Sun May 12 2013 22:34:45 GMT-0700 (PDT)
16486400,4900904,10312960,Sun May 12 2013 22:34:55 GMT-0700 (PDT)
16756736,5023336,10312960,Sun May 12 2013 22:35:05 GMT-0700 (PDT)
16756736,5108376,10312960,Sun May 12 2013 22:35:15 GMT-0700 (PDT)
17027072,5193504,10312960,Sun May 12 2013 22:35:25 GMT-0700 (PDT)
17027072,5278512,10312960,Sun May 12 2013 22:35:35 GMT-0700 (PDT)
17297408,5363488,10312960,Sun May 12 2013 22:35:45 GMT-0700 (PDT)
17297408,5448496,10312960,Sun May 12 2013 22:35:55 GMT-0700 (PDT)
17567744,5533472,10312960,Sun May 12 2013 22:36:05 GMT-0700 (PDT)
17567744,5621752,10312960,Sun May 12 2013 22:36:15 GMT-0700 (PDT)
17838080,5706728,10312960,Sun May 12 2013 22:36:25 GMT-0700 (PDT)
17838080,5791736,10312960,Sun May 12 2013 22:36:35 GMT-0700 (PDT)
18108416,4315000,11344896,Sun May 12 2013 22:36:45 GMT-0700 (PDT)
19030016,4481456,11344896,Sun May 12 2013 22:36:55 GMT-0700 (PDT)
19030016,4579640,11344896,Sun May 12 2013 22:37:05 GMT-0700 (PDT)
19030016,4664680,11344896,Sun May 12 2013 22:37:15 GMT-0700 (PDT)
19030016,4749656,11344896,Sun May 12 2013 22:37:25 GMT-0700 (PDT)
19030016,4834632,11344896,Sun May 12 2013 22:37:35 GMT-0700 (PDT)
19296256,4919608,11344896,Sun May 12 2013 22:37:45 GMT-0700 (PDT)
19296256,5020032,11344896,Sun May 12 2013 22:37:55 GMT-0700 (PDT)
19296256,5105008,11344896,Sun May 12 2013 22:38:06 GMT-0700 (PDT)
19296256,5190256,11344896,Sun May 12 2013 22:38:16 GMT-0700 (PDT)
19566592,5294912,11344896,Sun May 12 2013 22:38:26 GMT-0700 (PDT)
19836928,5379952,11344896,Sun May 12 2013 22:38:36 GMT-0700 (PDT)
19836928,5466296,11344896,Sun May 12 2013 22:38:46 GMT-0700 (PDT)
20107264,5551304,11344896,Sun May 12 2013 22:38:56 GMT-0700 (PDT)
20107264,5636312,11344896,Sun May 12 2013 22:39:06 GMT-0700 (PDT)
20377600,5721352,11344896,Sun May 12 2013 22:39:16 GMT-0700 (PDT)
20377600,5806360,11344896,Sun May 12 2013 22:39:26 GMT-0700 (PDT)
20647936,5891336,11344896,Sun May 12 2013 22:39:36 GMT-0700 (PDT)
20647936,5976344,11344896,Sun May 12 2013 22:39:46 GMT-0700 (PDT)
20918272,6061320,11344896,Sun May 12 2013 22:39:56 GMT-0700 (PDT)
20918272,6146328,11344896,Sun May 12 2013 22:40:06 GMT-0700 (PDT)
21188608,6231368,11344896,Sun May 12 2013 22:40:16 GMT-0700 (PDT)
21458944,4862328,11344896,Sun May 12 2013 22:40:26 GMT-0700 (PDT)
21999616,5017072,11344896,Sun May 12 2013 22:40:36 GMT-0700 (PDT)
21999616,5101872,11344896,Sun May 12 2013 22:40:46 GMT-0700 (PDT)
21999616,5186640,11344896,Sun May 12 2013 22:40:56 GMT-0700 (PDT)
21999616,5271656,11344896,Sun May 12 2013 22:41:06 GMT-0700 (PDT)
21999616,5356488,11344896,Sun May 12 2013 22:41:16 GMT-0700 (PDT)
21999616,5441256,11344896,Sun May 12 2013 22:41:26 GMT-0700 (PDT)
22269952,5526024,11344896,Sun May 12 2013 22:41:36 GMT-0700 (PDT)
22269952,5610824,11344896,Sun May 12 2013 22:41:46 GMT-0700 (PDT)
22269952,5695592,11344896,Sun May 12 2013 22:41:56 GMT-0700 (PDT)
22269952,5780408,11344896,Sun May 12 2013 22:42:06 GMT-0700 (PDT)
22540288,5865240,11344896,Sun May 12 2013 22:42:16 GMT-0700 (PDT)
22540288,5950040,11344896,Sun May 12 2013 22:42:26 GMT-0700 (PDT)
22540288,6034808,11344896,Sun May 12 2013 22:42:36 GMT-0700 (PDT)
22810624,6136520,11344896,Sun May 12 2013 22:42:46 GMT-0700 (PDT)
22810624,6221320,11344896,Sun May 12 2013 22:42:56 GMT-0700 (PDT)
