rss,heapUsed,heapTotal,checktime
11034624,3108456,6131200,Sun May 12 2013 22:32:10 GMT-0700 (PDT)
12992512,3456192,7163136,Sun May 12 2013 22:32:20 GMT-0700 (PDT)
11833344,3308760,10246912,Sun May 12 2013 22:32:30 GMT-0700 (PDT)
11833344,3493664,10246912,Sun May 12 2013 22:32:40 GMT-0700 (PDT)
11984896,3556888,10246912,Sun May 12 2013 22:32:50 GMT-0700 (PDT)
12054528,3613688,10246912,Sun May 12 2013 22:33:00 GMT-0700 (PDT)
12931072,3702424,10246912,Sun May 12 2013 22:33:10 GMT-0700 (PDT)
12935168,3751840,10246912,Sun May 12 2013 22:33:20 GMT-0700 (PDT)
12988416,3813600,10246912,Sun May 12 2013 22:33:30 GMT-0700 (PDT)
13123584,3902320,10246912,Sun May 12 2013 22:33:40 GMT-0700 (PDT)
13565952,4005016,10246912,Sun May 12 2013 22:33:50 GMT-0700 (PDT)
13611008,4052088,10246912,Sun May 12 2013 22:34:00 GMT-0700 (PDT)
13664256,4129464,10246912,Sun May 12 2013 22:34:10 GMT-0700 (PDT)
13737984,4221168,10246912,Sun May 12 2013 22:34:20 GMT-0700 (PDT)
13848576,4268512,10246912,Sun May 12 2013 22:34:30 GMT-0700 (PDT)
13893632,4317824,10246912,Sun May 12 2013 22:34:40 GMT-0700 (PDT)
13955072,4363720,10246912,Sun May 12 2013 22:34:50 GMT-0700 (PDT)
14536704,4453952,10246912,Sun May 12 2013 22:35:00 GMT-0700 (PDT)
14598144,4499864,10246912,Sun May 12 2013 22:35:10 GMT-0700 (PDT)
14647296,4548896,10246912,Sun May 12 2013 22:35:20 GMT-0700 (PDT)
14704640,4612856,10246912,Sun May 12 2013 22:35:30 GMT-0700 (PDT)
14766080,4670392,10246912,Sun May 12 2013 22:35:40 GMT-0700 (PDT)
14823424,4716088,10246912,Sun May 12 2013 22:35:50 GMT-0700 (PDT)
14876672,3879584,10246912,Sun May 12 2013 22:36:00 GMT-0700 (PDT)
14278656,3967328,10246912,Sun May 12 2013 22:36:10 GMT-0700 (PDT)
14295040,4013024,10246912,Sun May 12 2013 22:36:20 GMT-0700 (PDT)
14336000,4058720,10246912,Sun May 12 2013 22:36:30 GMT-0700 (PDT)
14389248,4128312,10246912,Sun May 12 2013 22:36:40 GMT-0700 (PDT)
14483456,4174008,10246912,Sun May 12 2013 22:36:50 GMT-0700 (PDT)
14524416,4219736,10246912,Sun May 12 2013 22:37:00 GMT-0700 (PDT)
14573568,4268352,10246912,Sun May 12 2013 22:37:10 GMT-0700 (PDT)
14684160,4357328,10246912,Sun May 12 2013 22:37:20 GMT-0700 (PDT)
14700544,4406344,10246912,Sun May 12 2013 22:37:30 GMT-0700 (PDT)
14745600,4458152,10246912,Sun May 12 2013 22:37:40 GMT-0700 (PDT)
14802944,4504048,10246912,Sun May 12 2013 22:37:50 GMT-0700 (PDT)
14852096,4557424,10246912,Sun May 12 2013 22:38:00 GMT-0700 (PDT)
14901248,4603184,10246912,Sun May 12 2013 22:38:10 GMT-0700 (PDT)
15216640,4679064,10246912,Sun May 12 2013 22:38:20 GMT-0700 (PDT)
15233024,4773480,10246912,Sun May 12 2013 22:38:30 GMT-0700 (PDT)
15249408,4819176,10246912,Sun May 12 2013 22:38:40 GMT-0700 (PDT)
15294464,4866704,10246912,Sun May 12 2013 22:38:50 GMT-0700 (PDT)
15343616,4912400,10246912,Sun May 12 2013 22:39:00 GMT-0700 (PDT)
15392768,4958160,10246912,Sun May 12 2013 22:39:10 GMT-0700 (PDT)
15437824,4154608,10246912,Sun May 12 2013 22:39:20 GMT-0700 (PDT)
15581184,4204496,10246912,Sun May 12 2013 22:39:30 GMT-0700 (PDT)
15663104,4307272,10246912,Sun May 12 2013 22:39:40 GMT-0700 (PDT)
15667200,4353000,10246912,Sun May 12 2013 22:39:50 GMT-0700 (PDT)
15667200,4398696,10246912,Sun May 12 2013 22:40:00 GMT-0700 (PDT)
15671296,4444392,10246912,Sun May 12 2013 22:40:10 GMT-0700 (PDT)
15679488,4490088,10246912,Sun May 12 2013 22:40:20 GMT-0700 (PDT)
15683584,4535816,10246912,Sun May 12 2013 22:40:30 GMT-0700 (PDT)
15687680,4581512,10246912,Sun May 12 2013 22:40:40 GMT-0700 (PDT)
15728640,4674816,10246912,Sun May 12 2013 22:40:50 GMT-0700 (PDT)
15732736,4720544,10246912,Sun May 12 2013 22:41:00 GMT-0700 (PDT)
15740928,4766304,10246912,Sun May 12 2013 22:41:10 GMT-0700 (PDT)
15740928,4812000,10246912,Sun May 12 2013 22:41:20 GMT-0700 (PDT)
15749120,4857664,10246912,Sun May 12 2013 22:41:30 GMT-0700 (PDT)
15749120,4903360,10246912,Sun May 12 2013 22:41:40 GMT-0700 (PDT)
15757312,4949024,10246912,Sun May 12 2013 22:41:50 GMT-0700 (PDT)
15863808,5043328,10246912,Sun May 12 2013 22:42:00 GMT-0700 (PDT)
15872000,5089088,10246912,Sun May 12 2013 22:42:10 GMT-0700 (PDT)
15872000,5134784,10246912,Sun May 12 2013 22:42:20 GMT-0700 (PDT)
15876096,5180448,10246912,Sun May 12 2013 22:42:30 GMT-0700 (PDT)
16142336,5251376,10246912,Sun May 12 2013 22:42:40 GMT-0700 (PDT)
16277504,5297408,10246912,Sun May 12 2013 22:42:50 GMT-0700 (PDT)
16281600,4412248,10246912,Sun May 12 2013 22:43:00 GMT-0700 (PDT)
16609280,4518552,10246912,Sun May 12 2013 22:43:10 GMT-0700 (PDT)
16793600,4621208,10246912,Sun May 12 2013 22:43:20 GMT-0700 (PDT)
16846848,4666728,10246912,Sun May 12 2013 22:43:30 GMT-0700 (PDT)
16850944,4712728,10246912,Sun May 12 2013 22:43:40 GMT-0700 (PDT)
16850944,4758384,10246912,Sun May 12 2013 22:43:50 GMT-0700 (PDT)
16859136,4815832,10246912,Sun May 12 2013 22:44:00 GMT-0700 (PDT)
16871424,4861416,10246912,Sun May 12 2013 22:44:10 GMT-0700 (PDT)
16879616,4958128,10246912,Sun May 12 2013 22:44:20 GMT-0700 (PDT)
16920576,5003616,10246912,Sun May 12 2013 22:44:30 GMT-0700 (PDT)
16928768,5049104,10246912,Sun May 12 2013 22:44:40 GMT-0700 (PDT)
16932864,5094592,10246912,Sun May 12 2013 22:44:50 GMT-0700 (PDT)
16936960,5140080,10246912,Sun May 12 2013 22:45:00 GMT-0700 (PDT)
16945152,5185632,10246912,Sun May 12 2013 22:45:10 GMT-0700 (PDT)
16949248,5231120,10246912,Sun May 12 2013 22:45:20 GMT-0700 (PDT)
16949248,5329128,10246912,Sun May 12 2013 22:45:30 GMT-0700 (PDT)
17092608,5374584,10246912,Sun May 12 2013 22:45:40 GMT-0700 (PDT)
17104896,5420072,10246912,Sun May 12 2013 22:45:50 GMT-0700 (PDT)
17104896,5465592,10246912,Sun May 12 2013 22:46:00 GMT-0700 (PDT)
17108992,5511144,10246912,Sun May 12 2013 22:46:10 GMT-0700 (PDT)
17108992,5556632,10246912,Sun May 12 2013 22:46:20 GMT-0700 (PDT)
