rss,heapUsed,heapTotal,checktime
12759040,3007392,7195904,Sun May 12 2013 22:29:32 GMT-0700 (PDT)
13565952,3588992,7195904,Sun May 12 2013 22:29:35 GMT-0700 (PDT)
13836288,3676240,7195904,Sun May 12 2013 22:29:42 GMT-0700 (PDT)
13836288,3812392,7195904,Sun May 12 2013 22:29:45 GMT-0700 (PDT)
13836288,3856904,7195904,Sun May 12 2013 22:29:52 GMT-0700 (PDT)
14106624,3939328,7195904,Sun May 12 2013 22:29:55 GMT-0700 (PDT)
14106624,3970928,7195904,Sun May 12 2013 22:30:02 GMT-0700 (PDT)
14647296,3291712,7195904,Sun May 12 2013 22:30:05 GMT-0700 (PDT)
14647296,3368376,7195904,Sun May 12 2013 22:30:12 GMT-0700 (PDT)
14917632,3477640,8215808,Sun May 12 2013 22:30:15 GMT-0700 (PDT)
14917632,3507904,8215808,Sun May 12 2013 22:30:22 GMT-0700 (PDT)
14917632,3581920,8215808,Sun May 12 2013 22:30:25 GMT-0700 (PDT)
14917632,3610712,8215808,Sun May 12 2013 22:30:32 GMT-0700 (PDT)
14917632,3658600,8215808,Sun May 12 2013 22:30:35 GMT-0700 (PDT)
14917632,3684648,8215808,Sun May 12 2013 22:30:42 GMT-0700 (PDT)
14917632,3730984,8215808,Sun May 12 2013 22:30:45 GMT-0700 (PDT)
14917632,3761432,8215808,Sun May 12 2013 22:30:52 GMT-0700 (PDT)
15187968,3810840,8215808,Sun May 12 2013 22:30:55 GMT-0700 (PDT)
15187968,3854720,8215808,Sun May 12 2013 22:31:02 GMT-0700 (PDT)
15187968,3911704,8215808,Sun May 12 2013 22:31:05 GMT-0700 (PDT)
15187968,3937248,8215808,Sun May 12 2013 22:31:12 GMT-0700 (PDT)
15187968,3992056,8215808,Sun May 12 2013 22:31:15 GMT-0700 (PDT)
15458304,4047384,8215808,Sun May 12 2013 22:31:22 GMT-0700 (PDT)
15728640,4124888,8215808,Sun May 12 2013 22:31:25 GMT-0700 (PDT)
15728640,4159008,8215808,Sun May 12 2013 22:31:32 GMT-0700 (PDT)
15728640,4205312,8215808,Sun May 12 2013 22:31:35 GMT-0700 (PDT)
15728640,4254728,8215808,Sun May 12 2013 22:31:42 GMT-0700 (PDT)
15728640,4304768,8215808,Sun May 12 2013 22:31:45 GMT-0700 (PDT)
15728640,4330280,8215808,Sun May 12 2013 22:31:52 GMT-0700 (PDT)
15728640,4398584,8215808,Sun May 12 2013 22:31:55 GMT-0700 (PDT)
15728640,4434232,8215808,Sun May 12 2013 22:32:02 GMT-0700 (PDT)
15728640,4490568,8215808,Sun May 12 2013 22:32:05 GMT-0700 (PDT)
15728640,4516936,8215808,Sun May 12 2013 22:32:12 GMT-0700 (PDT)
15872000,3715352,10312960,Sun May 12 2013 22:32:15 GMT-0700 (PDT)
15872000,3740904,10312960,Sun May 12 2013 22:32:22 GMT-0700 (PDT)
15806464,3815336,10312960,Sun May 12 2013 22:32:25 GMT-0700 (PDT)
15806464,3840856,10312960,Sun May 12 2013 22:32:32 GMT-0700 (PDT)
15806464,3897224,10312960,Sun May 12 2013 22:32:35 GMT-0700 (PDT)
15806464,3926128,10312960,Sun May 12 2013 22:32:42 GMT-0700 (PDT)
15806464,3973288,10312960,Sun May 12 2013 22:32:45 GMT-0700 (PDT)
15806464,3999584,10312960,Sun May 12 2013 22:32:52 GMT-0700 (PDT)
15806464,4046184,10312960,Sun May 12 2013 22:32:55 GMT-0700 (PDT)
15806464,4071752,10312960,Sun May 12 2013 22:33:02 GMT-0700 (PDT)
15806464,4132680,10312960,Sun May 12 2013 22:33:05 GMT-0700 (PDT)
15806464,4162720,10312960,Sun May 12 2013 22:33:12 GMT-0700 (PDT)
15806464,4209288,10312960,Sun May 12 2013 22:33:15 GMT-0700 (PDT)
15806464,4234792,10312960,Sun May 12 2013 22:33:22 GMT-0700 (PDT)
15806464,4281680,10312960,Sun May 12 2013 22:33:25 GMT-0700 (PDT)
15806464,4308008,10312960,Sun May 12 2013 22:33:32 GMT-0700 (PDT)
