rss,heapUsed,heapTotal,checktime
12759040,3015040,7195904,Tue May 14 2013 14:39:01 GMT-0700 (PDT)
13025280,3426368,7195904,Tue May 14 2013 14:39:11 GMT-0700 (PDT)
13565952,3642296,7195904,Tue May 14 2013 14:39:15 GMT-0700 (PDT)
13565952,3701432,7195904,Tue May 14 2013 14:39:21 GMT-0700 (PDT)
13836288,3835448,7195904,Tue May 14 2013 14:39:25 GMT-0700 (PDT)
13836288,3873464,7195904,Tue May 14 2013 14:39:31 GMT-0700 (PDT)
14106624,3961832,7195904,Tue May 14 2013 14:39:35 GMT-0700 (PDT)
14106624,3992608,7195904,Tue May 14 2013 14:39:41 GMT-0700 (PDT)
14917632,3326736,7195904,Tue May 14 2013 14:39:45 GMT-0700 (PDT)
14917632,3406960,7195904,Tue May 14 2013 14:39:51 GMT-0700 (PDT)
15065088,3498792,8215808,Tue May 14 2013 14:39:55 GMT-0700 (PDT)
15065088,3529672,8215808,Tue May 14 2013 14:40:01 GMT-0700 (PDT)
15065088,3600528,8215808,Tue May 14 2013 14:40:05 GMT-0700 (PDT)
15065088,3629368,8215808,Tue May 14 2013 14:40:11 GMT-0700 (PDT)
15065088,3693312,8215808,Tue May 14 2013 14:40:15 GMT-0700 (PDT)
15065088,3719144,8215808,Tue May 14 2013 14:40:21 GMT-0700 (PDT)
15065088,3778072,8215808,Tue May 14 2013 14:40:25 GMT-0700 (PDT)
15065088,3803096,8215808,Tue May 14 2013 14:40:31 GMT-0700 (PDT)
15601664,3900568,8215808,Tue May 14 2013 14:40:35 GMT-0700 (PDT)
15601664,3940184,8215808,Tue May 14 2013 14:40:41 GMT-0700 (PDT)
15601664,3985584,8215808,Tue May 14 2013 14:40:45 GMT-0700 (PDT)
15601664,4011792,8215808,Tue May 14 2013 14:40:51 GMT-0700 (PDT)
15601664,4097376,8215808,Tue May 14 2013 14:40:55 GMT-0700 (PDT)
15601664,4122992,8215808,Tue May 14 2013 14:41:01 GMT-0700 (PDT)
15601664,4195344,8215808,Tue May 14 2013 14:41:05 GMT-0700 (PDT)
15601664,4220112,8215808,Tue May 14 2013 14:41:12 GMT-0700 (PDT)
15601664,4268208,8215808,Tue May 14 2013 14:41:15 GMT-0700 (PDT)
15872000,4297352,8215808,Tue May 14 2013 14:41:22 GMT-0700 (PDT)
15872000,4347848,8215808,Tue May 14 2013 14:41:25 GMT-0700 (PDT)
15872000,4372584,8215808,Tue May 14 2013 14:41:32 GMT-0700 (PDT)
15872000,4453128,8215808,Tue May 14 2013 14:41:35 GMT-0700 (PDT)
15872000,4482544,8215808,Tue May 14 2013 14:41:42 GMT-0700 (PDT)
15872000,4537104,8215808,Tue May 14 2013 14:41:45 GMT-0700 (PDT)
15872000,4566848,8215808,Tue May 14 2013 14:41:52 GMT-0700 (PDT)
15872000,4621448,8215808,Tue May 14 2013 14:41:55 GMT-0700 (PDT)
15998976,3806432,10312960,Tue May 14 2013 14:42:02 GMT-0700 (PDT)
15884288,3879712,10312960,Tue May 14 2013 14:42:05 GMT-0700 (PDT)
15884288,3904488,10312960,Tue May 14 2013 14:42:12 GMT-0700 (PDT)
15884288,3948264,10312960,Tue May 14 2013 14:42:15 GMT-0700 (PDT)
15884288,3976616,10312960,Tue May 14 2013 14:42:22 GMT-0700 (PDT)
15884288,4021280,10312960,Tue May 14 2013 14:42:25 GMT-0700 (PDT)
15884288,4046312,10312960,Tue May 14 2013 14:42:32 GMT-0700 (PDT)
15884288,4090088,10312960,Tue May 14 2013 14:42:35 GMT-0700 (PDT)
15884288,4119136,10312960,Tue May 14 2013 14:42:42 GMT-0700 (PDT)
15884288,4180776,10312960,Tue May 14 2013 14:42:45 GMT-0700 (PDT)
15884288,4208488,10312960,Tue May 14 2013 14:42:52 GMT-0700 (PDT)
15884288,4252288,10312960,Tue May 14 2013 14:42:55 GMT-0700 (PDT)
15884288,4277088,10312960,Tue May 14 2013 14:43:02 GMT-0700 (PDT)
15884288,4321752,10312960,Tue May 14 2013 14:43:05 GMT-0700 (PDT)
15884288,4346496,10312960,Tue May 14 2013 14:43:12 GMT-0700 (PDT)
15884288,4390272,10312960,Tue May 14 2013 14:43:15 GMT-0700 (PDT)
15884288,4414984,10312960,Tue May 14 2013 14:43:22 GMT-0700 (PDT)
16150528,4470200,10312960,Tue May 14 2013 14:43:25 GMT-0700 (PDT)
16150528,4513408,10312960,Tue May 14 2013 14:43:32 GMT-0700 (PDT)
16150528,4557672,10312960,Tue May 14 2013 14:43:35 GMT-0700 (PDT)
16150528,4582056,10312960,Tue May 14 2013 14:43:42 GMT-0700 (PDT)
16150528,4626448,10312960,Tue May 14 2013 14:43:45 GMT-0700 (PDT)
16150528,4650888,10312960,Tue May 14 2013 14:43:52 GMT-0700 (PDT)
16150528,4694488,10312960,Tue May 14 2013 14:43:55 GMT-0700 (PDT)
16150528,4718936,10312960,Tue May 14 2013 14:44:02 GMT-0700 (PDT)
16420864,4793936,11344896,Tue May 14 2013 14:44:05 GMT-0700 (PDT)
16420864,4818704,11344896,Tue May 14 2013 14:44:12 GMT-0700 (PDT)
16691200,4862272,11344896,Tue May 14 2013 14:44:15 GMT-0700 (PDT)
16691200,4886688,11344896,Tue May 14 2013 14:44:22 GMT-0700 (PDT)
16691200,4934472,11344896,Tue May 14 2013 14:44:25 GMT-0700 (PDT)
16691200,4977024,11344896,Tue May 14 2013 14:44:32 GMT-0700 (PDT)
16691200,5041592,11344896,Tue May 14 2013 14:44:35 GMT-0700 (PDT)
16691200,5070496,11344896,Tue May 14 2013 14:44:42 GMT-0700 (PDT)
16961536,5114064,11344896,Tue May 14 2013 14:44:45 GMT-0700 (PDT)
16961536,5138952,11344896,Tue May 14 2013 14:44:52 GMT-0700 (PDT)
16961536,5182520,11344896,Tue May 14 2013 14:44:55 GMT-0700 (PDT)
16961536,5206936,11344896,Tue May 14 2013 14:45:02 GMT-0700 (PDT)
16961536,5251392,11344896,Tue May 14 2013 14:45:05 GMT-0700 (PDT)
16961536,5275808,11344896,Tue May 14 2013 14:45:12 GMT-0700 (PDT)
16961536,5319376,11344896,Tue May 14 2013 14:45:15 GMT-0700 (PDT)
16961536,5344080,11344896,Tue May 14 2013 14:45:22 GMT-0700 (PDT)
17231872,5387648,11344896,Tue May 14 2013 14:45:25 GMT-0700 (PDT)
17231872,5412384,11344896,Tue May 14 2013 14:45:32 GMT-0700 (PDT)
17231872,5455952,11344896,Tue May 14 2013 14:45:35 GMT-0700 (PDT)
17231872,5480656,11344896,Tue May 14 2013 14:45:42 GMT-0700 (PDT)
17231872,5525048,11344896,Tue May 14 2013 14:45:45 GMT-0700 (PDT)
17231872,5549432,11344896,Tue May 14 2013 14:45:52 GMT-0700 (PDT)
17231872,5593000,11344896,Tue May 14 2013 14:45:55 GMT-0700 (PDT)
17231872,5617448,11344896,Tue May 14 2013 14:46:02 GMT-0700 (PDT)
17502208,5661080,11344896,Tue May 14 2013 14:46:05 GMT-0700 (PDT)
17502208,5685528,11344896,Tue May 14 2013 14:46:12 GMT-0700 (PDT)
17502208,5729248,11344896,Tue May 14 2013 14:46:15 GMT-0700 (PDT)
17502208,5753952,11344896,Tue May 14 2013 14:46:22 GMT-0700 (PDT)
17772544,5842480,11344896,Tue May 14 2013 14:46:25 GMT-0700 (PDT)
17772544,5871032,11344896,Tue May 14 2013 14:46:32 GMT-0700 (PDT)
18042880,4316960,11344896,Tue May 14 2013 14:46:35 GMT-0700 (PDT)
18042880,4341752,11344896,Tue May 14 2013 14:46:42 GMT-0700 (PDT)
18042880,4385320,11344896,Tue May 14 2013 14:46:45 GMT-0700 (PDT)
